flight_date,days_before,lowest_price,day,origin,destination,nonstop,sun_country,date_recorded
04-15-2024,113,89,Monday,EWR,MSP,yes,yes,12-24-2023
04-15-2024,112,89,Monday,EWR,MSP,yes,yes,12-25-2023
04-15-2024,111,89,Monday,EWR,MSP,yes,yes,12-26-2023
04-15-2024,110,89,Monday,EWR,MSP,yes,yes,12-27-2023
04-15-2024,109,89,Monday,EWR,MSP,yes,yes,12-28-2023
04-15-2024,108,89,Monday,EWR,MSP,yes,yes,12-29-2023
04-15-2024,107,89,Monday,EWR,MSP,yes,yes,12-30-2023
04-15-2024,106,89,Monday,EWR,MSP,yes,yes,12-31-2023
04-15-2024,105,89,Monday,EWR,MSP,yes,yes,01-01-2024
04-15-2024,104,90,Monday,EWR,MSP,yes,yes,01-02-2024
04-15-2024,103,90,Monday,EWR,MSP,yes,yes,01-03-2024
04-15-2024,102,90,Monday,EWR,MSP,yes,yes,01-04-2024
04-15-2024,101,90,Monday,EWR,MSP,yes,yes,01-05-2024
04-15-2024,100,120,Monday,EWR,MSP,yes,yes,01-06-2024
04-15-2024,99,120,Monday,EWR,MSP,yes,yes,01-07-2024
04-15-2024,98,100,Monday,EWR,MSP,yes,yes,01-08-2024
04-15-2024,97,120,Monday,EWR,MSP,yes,yes,01-09-2024
04-15-2024,96,100,Monday,EWR,MSP,yes,yes,01-10-2024
04-15-2024,95,89,Monday,EWR,MSP,yes,yes,01-11-2024
04-15-2024,94,89,Monday,EWR,MSP,yes,yes,01-12-2024
04-15-2024,93,89,Monday,EWR,MSP,yes,yes,01-13-2024
04-15-2024,92,89,Monday,EWR,MSP,yes,yes,01-14-2024
04-15-2024,91,89,Monday,EWR,MSP,yes,yes,01-15-2024
04-15-2024,90,89,Monday,EWR,MSP,yes,yes,01-16-2024
04-15-2024,89,99,Monday,EWR,MSP,yes,yes,01-17-2024
04-15-2024,88,99,Monday,EWR,MSP,yes,yes,01-18-2024
04-15-2024,87,99,Monday,EWR,MSP,yes,yes,01-19-2024
04-15-2024,86,99,Monday,EWR,MSP,yes,yes,01-20-2024
04-15-2024,85,99,Monday,EWR,MSP,yes,yes,01-21-2024
04-15-2024,84,99,Monday,EWR,MSP,yes,yes,01-22-2024
04-15-2024,83,99,Monday,EWR,MSP,yes,yes,01-23-2024
04-15-2024,82,99,Monday,EWR,MSP,yes,yes,01-24-2024
04-15-2024,81,99,Monday,EWR,MSP,yes,yes,01-25-2024
04-15-2024,80,99,Monday,EWR,MSP,yes,yes,01-26-2024
04-15-2024,79,99,Monday,EWR,MSP,yes,yes,01-27-2024
04-15-2024,78,99,Monday,EWR,MSP,yes,yes,01-28-2024
04-15-2024,77,99,Monday,EWR,MSP,yes,yes,01-29-2024
04-15-2024,76,99,Monday,EWR,MSP,yes,yes,01-30-2024
04-15-2024,75,99,Monday,EWR,MSP,yes,yes,01-31-2024
04-15-2024,74,99,Monday,EWR,MSP,yes,yes,02-01-2024
04-15-2024,73,99,Monday,EWR,MSP,yes,yes,02-02-2024
04-15-2024,72,99,Monday,EWR,MSP,yes,yes,02-03-2024
04-15-2024,71,99,Monday,EWR,MSP,yes,yes,02-04-2024
04-15-2024,70,99,Monday,EWR,MSP,yes,yes,02-05-2024
04-15-2024,69,139,Monday,EWR,MSP,yes,yes,02-06-2024
04-15-2024,68,139,Monday,EWR,MSP,yes,yes,02-07-2024
04-15-2024,67,140,Monday,EWR,MSP,yes,yes,02-08-2024
04-15-2024,66,140,Monday,EWR,MSP,yes,yes,02-09-2024
04-15-2024,65,140,Monday,EWR,MSP,yes,yes,02-10-2024
04-15-2024,64,139,Monday,EWR,MSP,yes,yes,02-11-2024
04-15-2024,63,157,Monday,EWR,MSP,yes,yes,02-12-2024
04-15-2024,62,140,Monday,EWR,MSP,yes,yes,02-13-2024
04-15-2024,61,139,Monday,EWR,MSP,yes,yes,02-14-2024
04-15-2024,60,139,Monday,EWR,MSP,yes,yes,02-15-2024
04-15-2024,59,139,Monday,EWR,MSP,yes,yes,02-16-2024
04-15-2024,58,139,Monday,EWR,MSP,yes,yes,02-17-2024
04-15-2024,57,139,Monday,EWR,MSP,yes,yes,02-18-2024
04-15-2024,56,119,Monday,EWR,MSP,yes,yes,02-19-2024
04-15-2024,55,119,Monday,EWR,MSP,yes,yes,02-20-2024
04-15-2024,54,139,Monday,EWR,MSP,yes,yes,02-21-2024
04-15-2024,53,139,Monday,EWR,MSP,yes,yes,02-22-2024
04-15-2024,52,139,Monday,EWR,MSP,yes,yes,02-23-2024
04-15-2024,51,139,Monday,EWR,MSP,yes,yes,02-24-2024
04-15-2024,50,139,Monday,EWR,MSP,yes,yes,02-25-2024
04-15-2024,49,119,Monday,EWR,MSP,yes,yes,02-26-2024
04-15-2024,48,99,Monday,EWR,MSP,yes,yes,02-27-2024
04-15-2024,47,119,Monday,EWR,MSP,yes,yes,02-28-2024
04-15-2024,46,119,Monday,EWR,MSP,yes,yes,02-29-2024
04-15-2024,45,119,Monday,EWR,MSP,yes,yes,03-01-2024
04-15-2024,44,119,Monday,EWR,MSP,yes,yes,03-02-2024
04-15-2024,43,119,Monday,EWR,MSP,yes,yes,03-03-2024
04-15-2024,42,119,Monday,EWR,MSP,yes,yes,03-04-2024
04-15-2024,41,119,Monday,EWR,MSP,yes,yes,03-04-2024
04-15-2024,40,,Monday,EWR,MSP,yes,yes,
04-15-2024,39,,Monday,EWR,MSP,yes,yes,
04-15-2024,38,,Monday,EWR,MSP,yes,yes,
04-15-2024,37,,Monday,EWR,MSP,yes,yes,
04-15-2024,36,,Monday,EWR,MSP,yes,yes,
04-15-2024,35,,Monday,EWR,MSP,yes,yes,
04-15-2024,34,,Monday,EWR,MSP,yes,yes,
04-15-2024,33,,Monday,EWR,MSP,yes,yes,
04-15-2024,32,,Monday,EWR,MSP,yes,yes,
04-15-2024,31,,Monday,EWR,MSP,yes,yes,
04-15-2024,30,,Monday,EWR,MSP,yes,yes,
04-15-2024,29,,Monday,EWR,MSP,yes,yes,
04-15-2024,28,,Monday,EWR,MSP,yes,yes,
04-15-2024,27,,Monday,EWR,MSP,yes,yes,
04-15-2024,26,,Monday,EWR,MSP,yes,yes,
04-15-2024,25,,Monday,EWR,MSP,yes,yes,
04-15-2024,24,,Monday,EWR,MSP,yes,yes,
04-15-2024,23,,Monday,EWR,MSP,yes,yes,
04-15-2024,22,,Monday,EWR,MSP,yes,yes,
04-15-2024,21,,Monday,EWR,MSP,yes,yes,
04-15-2024,20,,Monday,EWR,MSP,yes,yes,
04-15-2024,19,,Monday,EWR,MSP,yes,yes,
04-15-2024,18,,Monday,EWR,MSP,yes,yes,
04-15-2024,17,,Monday,EWR,MSP,yes,yes,
04-15-2024,16,,Monday,EWR,MSP,yes,yes,
04-15-2024,15,,Monday,EWR,MSP,yes,yes,
04-15-2024,14,,Monday,EWR,MSP,yes,yes,
04-15-2024,13,,Monday,EWR,MSP,yes,yes,
04-15-2024,12,,Monday,EWR,MSP,yes,yes,
04-15-2024,11,,Monday,EWR,MSP,yes,yes,
04-15-2024,10,,Monday,EWR,MSP,yes,yes,
04-15-2024,9,,Monday,EWR,MSP,yes,yes,
04-15-2024,8,,Monday,EWR,MSP,yes,yes,
04-15-2024,7,,Monday,EWR,MSP,yes,yes,
04-15-2024,6,,Monday,EWR,MSP,yes,yes,
04-15-2024,5,,Monday,EWR,MSP,yes,yes,
04-15-2024,4,,Monday,EWR,MSP,yes,yes,
04-15-2024,3,,Monday,EWR,MSP,yes,yes,
04-15-2024,2,,Monday,EWR,MSP,yes,yes,
04-15-2024,1,,Monday,EWR,MSP,yes,yes,
04-15-2024,0,,Monday,EWR,MSP,yes,yes,
